prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Salts of 4-[(4-ethoxyphenyl)azo]naphthol;Salts of 4-[(4-ethoxyphenyl)azo]naphthol;Hair dye products;0%
Salts of 4-(phenylazo)resorcinol;Salts of 4-(phenylazo)resorcinol;Hair dye products;0%
Salts of 4,6-bis(2-hydroxyethoxy)-m-phenylenediamine;Salts of 4,6-bis(2-hydroxyethoxy)-m-phenylenediamine;Hair dye products;0%
Salts of 4,4'-diaminodiphenylamine;"Salts of 4,4&#39;-diaminodiphenylamine";Hair dye products;0%
Salts of 4,4'-[(4-methyl-1,3-phenylene)bis(azo)]bis[6-methyl-1, 3-benzenediamine];"Salts of 4,4&#39;-[(4-methyl-1,3-phenylene)bis(azo)]bis[6-methyl-1, 3-benzenediamine]";Hair dye products;0%
Salts of 3H-indolium, 2-[[(4-methoxyphenyl)methylhydrazono]methyl]-1,3,3-trimethyl-;Salts of 3H-indolium, 2-[[(4-methoxyphenyl)methylhydrazono]methyl]-1,3,3-trimethyl-;Hair dye products;0%
Salts of 3H-indolium, 2-(2-((2,4-dimethoxyphenyl)amino)ethenyl)-1,3,3-trimethyl-;Salts of 3H-indolium, 2-(2-((2,4-dimethoxyphenyl)amino)ethenyl)-1,3,3-trimethyl-;Hair dye products;0%
Salts of 3-nitro-4-aminophenoxyethanol;Salts of 3-nitro-4-aminophenoxyethanol;Hair dye products;0%
Salts of 3-hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naph-thalene-2-carboxamide;Salts of 3-hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naph-thalene-2-carboxamide;Hair dye products;0%
Salts of 3-hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalene-1-sulphonic acid;Salts of 3-hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalene-1-sulphonic acid;Hair dye products;0%
Salts of 3-[[4-[ethyl(2-hydroxyethyl)amino]-2-nitrophenyl]amino]-1,2-propanediol;Salts of 3-[[4-[ethyl(2-hydroxyethyl)amino]-2-nitrophenyl]amino]-1,2-propanediol;Hair dye products;0%
Salts of 3-[[4-[(2-hydroxyethyl)methylamino]-2-nitrophenyl]amino]-1,2-propanediol;Salts of 3-[[4-[(2-hydroxyethyl)methylamino]-2-nitrophenyl]amino]-1,2-propanediol;Hair dye products;0%
Salts of 3-[(4-(acetylamino)phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phenylazo)-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid;Salts of 3-[(4-(acetylamino)phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phenylazo)-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid;Hair dye products;0%
Salts of 3-[(2-nitro-4-(trifluoromethyl)phenyl)amino]propane-1,2-diol;Salts of 3-[(2-nitro-4-(trifluoromethyl)phenyl)amino]propane-1,2-diol;Hair dye products;0%
Salts of 3-(N-methyl-N-(4-methylamino-3-nitrophenyl)amino)propane-1,2-diol;Salts of 3-(N-methyl-N-(4-methylamino-3-nitrophenyl)amino)propane-1,2-diol;Hair dye products;0%
Salts of 3,4-methylenedioxyphenol;Salts of 3,4-methylenedioxyphenol;Hair dye products;0%
Salts of 3,4-methylenedioxyaniline;Salts of 3,4-methylenedioxyaniline;Hair dye products;0%
Salts of 3,3'-(sulfonylbis(2-nitro-4,1-phenylene)imino)bis(6-(phenylamino)) benzenesulfonic acid;"Salts of 3,3&#39;-(sulfonylbis(2-nitro-4,1-phenylene)imino)bis(6-(phenylamino)) benzenesulfonic acid";Hair dye products;0%
Salts of 3(or5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylic acid;Salts of 3(or5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylic acid;Hair dye products;0%
Salts of 3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium;Salts of 3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium;Hair dye products;0%
Salts of 2-nitro-p-phenylenediamine;Salts of 2-nitro-p-phenylenediamine;Hair dye products;0%
Salts of 2-nitro-N-hydroxyethyl-p-anisidine;Salts of 2-nitro-N-hydroxyethyl-p-anisidine;Hair dye products;0%
